Epoch,Content Loss,Adversarial Loss,Train SNR,Valid SNR,Train PSNR,Valid PSNR,Train SSIM,Valid SSIM,Time Stamp
1,0.027248775586485863,0.9424576759338379,6.036390890393938,6.129004158079624,12.191143867611348,12.48253583000996,0.21220123377229486,0.2207064899802208,2023-12-05_20-54-38
2,0.026397179812192917,2.8991811275482178,9.449423125811986,9.554916924238205,15.604176127627436,15.908448569569806,0.16481419408427816,0.17074173286557198,2023-12-05_20-56-23
3,0.023202573880553246,1.8713068962097168,11.003606071642468,11.152250698208809,17.158359108909472,17.50578227367273,0.2567833944197212,0.26930957213044165,2023-12-05_20-58-08
4,0.019795279949903488,2.9984068870544434,11.642075763855662,11.799869352579117,17.79682878187151,18.15340095125501,0.3113407168537378,0.31968864783644674,2023-12-05_20-59-53
5,0.01717398315668106,4.833854675292969,11.902760388595718,12.091914641857148,18.057513433942315,18.445446309927828,0.3330929045059851,0.34232749983668326,2023-12-05_21-01-39
6,0.014180408790707588,3.220205783843994,12.286879568014825,12.494886893033982,18.441632568166916,18.848418557434943,0.35789822358105866,0.3690879286825657,2023-12-05_21-03-25
7,0.011923132464289665,3.4026644229888916,12.554515100802695,12.772322410345078,18.709268118524665,19.125854147228907,0.38181301903511794,0.39391029611229894,2023-12-05_21-05-11
8,0.013876591809093952,3.617018222808838,12.64855802484921,12.861703598499298,18.803311061592375,19.2152352427463,0.3768812157852309,0.3863719004392624,2023-12-05_21-06-55
9,0.01475700456649065,4.356876850128174,12.780555143526621,13.016958820819855,18.935308172478816,19.370490470822766,0.3887363967086588,0.3994027544558048,2023-12-05_21-08-41
10,0.014964904636144638,2.710636615753174,12.825729707734926,13.069496685266495,18.980482745334452,19.423028329983502,0.3816526289390666,0.393558945953846,2023-12-05_21-10-26
11,0.01349678449332714,4.901795387268066,12.951713812351226,13.20189368724823,19.1064668070828,19.55542538018578,0.40356779422078815,0.4144104655086994,2023-12-05_21-12-12
12,0.012161314487457275,4.124810218811035,13.083811419350761,13.342233204841614,19.23856444911149,19.69576479198749,0.41661762817629744,0.42762252360582353,2023-12-05_21-13-57
13,0.014315776526927948,3.7813150882720947,13.131887542775699,13.39437602162361,19.28664056863397,19.74790760550069,0.4195345628793751,0.4303284864127636,2023-12-05_21-15-43
14,0.012091852724552155,3.8859736919403076,13.213436891351428,13.48138049840927,19.368189924817095,19.834912174201424,0.4299881481805018,0.44112064719200134,2023-12-05_21-17-29
15,0.01742086000740528,3.62113618850708,13.192776071173805,13.462405288219452,19.3475290820486,19.815936988711343,0.4308648645345654,0.44171598464250567,2023-12-05_21-19-15
16,0.012633493170142174,5.086188793182373,13.164858257344791,13.433243083953858,19.319611290554924,19.78677470750335,0.4021275386533567,0.4125468657910824,2023-12-05_21-21-00
17,0.014596433378756046,4.208518981933594,13.357091873032706,13.633568960428239,19.511844875884414,19.987100617721133,0.44212181844881604,0.4518746112287044,2023-12-05_21-22-46
18,0.014929279685020447,3.444491386413574,13.400148071135794,13.685784596204758,19.554901095912612,20.039316280567824,0.4516068280807563,0.4627534720301628,2023-12-05_21-24-31
19,0.013034578412771225,4.812641143798828,13.425079278009278,13.715348422527313,19.579832309188433,20.06888007641739,0.44411617192838876,0.4564404384791851,2023-12-05_21-26-17
20,0.014147641137242317,5.5078511238098145,13.458382489000048,13.747929185628891,19.613135508299248,20.101460822627367,0.4464742026265178,0.45860263854265215,2023-12-05_21-28-03
21,0.012888985686004162,5.088099002838135,13.470370610696929,13.75921909213066,19.62512361917946,20.11275070600719,0.4560314142597573,0.46674737632274627,2023-12-05_21-29-49
22,0.01467993762344122,4.238875389099121,13.528474866492408,13.82238319516182,19.683227918170115,20.175914821628467,0.4677154039378677,0.4787578774988651,2023-12-05_21-31-34
23,0.013417895883321762,5.78855037689209,13.563254801716123,13.860530132055283,19.718007809006433,20.21406173659773,0.46702022706823687,0.47816894233226775,2023-12-05_21-33-20
24,0.011213725432753563,5.763692855834961,13.471059481586728,13.759334307909011,19.625812520540034,20.112866011383822,0.45389841490558214,0.4661151477694511,2023-12-05_21-35-05
25,0.011883671395480633,4.638525009155273,13.521493027465684,13.823622399568558,19.676246042081836,20.177154077050623,0.448604038889919,0.46087578162550924,2023-12-05_21-36-51
26,0.010325773619115353,5.364030361175537,13.623241345371518,13.93055060505867,19.777994370117323,20.28408212964349,0.4734192616173199,0.48434506431221963,2023-12-05_21-38-35
27,0.014823820441961288,5.23921012878418,13.614050363642829,13.92069315314293,19.768803370498173,20.274224814753794,0.46134670632226127,0.47503827571868895,2023-12-05_21-40-20
28,0.012295814231038094,5.472021102905273,13.664431932994297,13.978338676691056,19.81918494959378,20.331870289712423,0.4782816777271884,0.48996266633272173,2023-12-05_21-42-05
29,0.010495412163436413,4.884250164031982,13.659657628621375,13.96820992231369,19.81441064984367,20.321741482536677,0.48402357182332445,0.4953706800937653,2023-12-05_21-43-50
