Epoch,Content Loss,Adversarial Loss,Train SNR,Valid SNR,Train PSNR,Valid PSNR,Train SSIM,Valid SSIM,Time Stamp
1,0.030494408681988716,,9.461611869931222,9.445867547392846,15.684465666538602,15.848358409254777,0.29580792459393185,0.311161991674453,2023-12-05_18-59-03
2,0.029473675414919853,,10.748739119086947,10.841618657112122,16.971592911497872,17.244109462410314,0.4162929461337626,0.44866724178195,2023-12-05_19-01-10
3,0.013030811212956905,,11.685226465974536,11.888138139247895,17.908080272187515,18.29062893234259,0.5728332794989859,0.5965301264822483,2023-12-05_19-03-17
4,0.01726037636399269,,12.26087408406394,12.506278139352798,18.48372786148474,18.90876903170903,0.6102211691226278,0.6374990478157997,2023-12-05_19-05-22
5,0.017456842586398125,,12.714049747160503,12.985833370685578,18.93690354459184,19.38832420520316,0.6495176532013076,0.6727662336826324,2023-12-05_19-07-28
6,0.016688209027051926,,12.986561531254223,13.275546580553055,19.20941531377531,19.67803740610521,0.668080669024161,0.6898103880882264,2023-12-05_19-09-34
7,0.019079551100730896,,13.157691750781877,13.46006292104721,19.380545535848402,19.86255378399722,0.6783515446739538,0.6993916618824005,2023-12-05_19-11-41
8,0.01086468156427145,,13.300820529886655,13.611681920289993,19.52367433519877,20.01417279989838,0.6833373136605535,0.7037788137793541,2023-12-05_19-13-49
9,0.015319619327783585,,13.403200654472624,13.722256165742873,19.626054453560997,20.12474700959945,0.687498294881412,0.7076412105560302,2023-12-05_19-15-56
10,0.025376971811056137,,13.492909647311484,13.819750756025314,19.71576342736641,20.22224153273982,0.6900291932054928,0.7099923810362816,2023-12-05_19-18-04
11,0.009278985671699047,,13.55200953398432,13.882526904344559,19.774863325600247,20.28501775255249,0.6940371659398079,0.7141721364855766,2023-12-05_19-20-11
12,0.013909729197621346,,13.609224690284048,13.945311003923416,19.83207847932137,20.347801867478086,0.6962082852636065,0.716088800728321,2023-12-05_19-22-19
13,0.015295341610908508,,13.642060495700155,13.980510294437408,19.86491427983239,20.383001077053848,0.6990780995573316,0.7190541422367096,2023-12-05_19-24-26
14,0.011523219756782055,,13.675325068405696,14.018209660053254,19.898178854410485,20.42070049777442,0.7010097001280103,0.7208957448601723,2023-12-05_19-26-33
15,0.01052944827824831,,13.704587598783629,14.051645046472549,19.927441396894224,20.454135870502185,0.7031054904631205,0.7228949329257012,2023-12-05_19-28-40
16,0.014993647113442421,,13.727140528389386,14.076421010494233,19.949994308184177,20.478911797804674,0.705398385311876,0.7251524069905281,2023-12-05_19-30-47
17,0.016706110909581184,,13.732235854438374,14.083027720451355,19.955089615407942,20.485518504853857,0.7046735668182373,0.7239884090423584,2023-12-05_19-32-54
18,0.010003202594816685,,13.75890449966703,14.112086308002471,19.981758287549912,20.514577155301378,0.7068099903634616,0.7261848047375679,2023-12-05_19-35-01
19,0.012920686975121498,,13.773988370384489,14.128559064865112,19.99684215656456,20.53104997555074,0.7084648618953568,0.7277589258551598,2023-12-05_19-37-07
20,0.014249436557292938,,13.788354379364423,14.145344573259354,20.01120815684214,20.547835430911555,0.7103074161495482,0.7294961878657341,2023-12-05_19-39-14
21,0.01104876771569252,,13.788735603008952,14.146594983339309,20.011589383510856,20.549085826131595,0.7106859139033727,0.7298070496320724,2023-12-05_19-41-21
22,0.016201874241232872,,13.806106334498951,14.166137617826461,20.028960125564765,20.56862844273395,0.7128440315382821,0.7319470682740211,2023-12-05_19-43-26
23,0.011543131433427334,,13.817879973990577,14.17866462469101,20.040733732004554,20.58115542189691,0.7137605870621545,0.7327114763855934,2023-12-05_19-45-32
24,0.016143999993801117,,13.81899055497987,14.18054838180542,20.04184431798916,20.583039277668266,0.714264795098986,0.7330344700813294,2023-12-05_19-47-39
25,0.01711997389793396,,13.836738373126302,14.201048702001572,20.05959215211043,20.603539497390138,0.7155727727072579,0.7343163254857064,2023-12-05_19-49-45
26,0.013102678582072258,,13.843638127190726,14.209018594026565,20.066491906539625,20.611509426593827,0.7156353483881269,0.7342515403032303,2023-12-05_19-51-53
27,0.010396287776529789,,13.846169589247022,14.21180909872055,20.069023357141496,20.614299987110275,0.7164519631011146,0.7351378962397576,2023-12-05_19-53-59
28,0.012408681213855743,,13.852378978899546,14.219498145580292,20.07523275220758,20.621988951358748,0.717517943254539,0.7358890104293824,2023-12-05_19-56-05
29,0.01484888419508934,,13.861308539765222,14.229856425523758,20.08416229802903,20.632347209794023,0.7182899533425059,0.7368425112962723,2023-12-05_19-58-11
30,0.016639403998851776,,13.851196734820093,14.218681836128235,20.074050524135604,20.621172737523477,0.7181563164932387,0.7362301853299141,2023-12-05_20-00-18
